date,sentiment_mean,sentiment_std,news_count,ticker
2025-11-30,0.7,0.48304589153964794,10,AMZN
2025-12-01,0.6363636363636364,0.504524979109513,11,AMZN
2025-12-02,0.2222222222222222,0.44095855184409843,9,AMZN
2025-12-03,0.42857142857142855,0.5135525910130956,14,AMZN
2025-12-04,0.36363636363636365,0.504524979109513,11,AMZN
2025-12-05,0.4,0.5477225575051661,5,AMZN
2025-12-06,0.7142857142857143,0.4879500364742666,7,AMZN
2025-12-07,0.5,0.5477225575051661,6,AMZN
2025-12-08,0.2,0.4216370213557839,10,AMZN
2025-12-09,0.375,0.5175491695067657,8,AMZN
2025-12-10,0.6,0.5163977794943222,10,AMZN
2025-12-11,0.625,0.5175491695067657,8,AMZN
2025-12-12,0.0,0.0,4,AMZN
2025-12-13,0.5714285714285714,0.5345224838248488,7,AMZN
2025-12-14,0.6666666666666666,0.5773502691896258,3,AMZN
2025-12-15,0.2222222222222222,0.4409585518440985,9,AMZN
2025-12-16,0.38461538461538464,0.5063696835418333,13,AMZN
2025-12-17,0.5384615384615384,0.5188745216627708,13,AMZN
2025-12-18,0.25,0.46291004988627577,8,AMZN
2025-12-19,0.0,0.0,2,AMZN
2025-12-20,0.6,0.5477225575051661,5,AMZN
2025-12-21,0.4444444444444444,0.5270462766947299,9,AMZN
2025-12-22,0.5454545454545454,0.5222329678670935,11,AMZN
2025-12-23,0.5,0.5188745216627708,14,AMZN
2025-12-24,0.2,0.8366600265340756,5,AMZN
2025-12-25,0.3333333333333333,0.5163977794943223,6,AMZN
2025-12-26,0.3333333333333333,0.5773502691896258,3,AMZN
2025-12-27,0.2,0.8366600265340756,5,AMZN
2025-12-28,0.3333333333333333,0.5163977794943223,6,AMZN
2025-12-29,0.375,0.5175491695067657,8,AMZN
2025-12-30,0.3333333333333333,0.5,9,AMZN
2025-12-31,0.6,0.5477225575051661,5,AMZN
2026-01-01,0.6,0.5477225575051661,5,AMZN
2026-01-02,0.2,0.7888106377466155,10,AMZN
2026-01-03,0.6666666666666666,0.5773502691896258,3,AMZN
2026-01-04,0.6666666666666666,0.5773502691896258,3,AMZN
2026-01-05,0.4166666666666667,0.6685579234215214,12,AMZN
2026-01-06,0.5,0.5188745216627708,14,AMZN
2026-01-07,0.4,0.50709255283711,15,AMZN
2026-01-08,0.5,0.5144957554275266,18,AMZN
2026-01-09,0.6363636363636364,0.504524979109513,11,AMZN
2026-01-10,0.5,0.5345224838248488,8,AMZN
2026-01-11,1.0,0.0,3,AMZN
2026-01-12,0.5833333333333334,0.5149286505444373,12,AMZN
2026-01-13,0.14285714285714285,0.6900655593423543,7,AMZN
2026-01-14,0.16666666666666666,0.408248290463863,6,AMZN
2026-01-15,0.5,0.5345224838248488,8,AMZN
2026-01-16,0.3333333333333333,0.7071067811865476,9,AMZN
2026-01-17,0.7142857142857143,0.48795003647426666,7,AMZN
2026-01-18,0.6,0.5477225575051661,5,AMZN
2026-01-19,0.4,0.5163977794943222,10,AMZN
2026-01-20,0.6428571428571429,0.4972451580988469,14,AMZN
2026-01-21,0.7777777777777778,0.44095855184409843,9,AMZN
2026-01-22,1.0,0.0,5,AMZN
2026-01-23,0.1,0.7378647873726218,10,AMZN
2026-01-24,1.0,,1,AMZN
2026-01-25,0.6666666666666666,0.5773502691896258,3,AMZN
2026-01-26,0.0,0.0,3,AMZN
2026-01-27,0.3333333333333333,0.49236596391733095,12,AMZN
2026-01-28,0.25,0.621581560508061,12,AMZN
2026-01-29,0.6666666666666666,0.5773502691896258,3,AMZN
