date,sentiment_mean,sentiment_std,news_count,ticker
2025-11-30,0.0,,1,JPM
2025-12-01,0.5,0.5773502691896257,4,JPM
2025-12-02,0.0,,1,JPM
2025-12-03,0.0,0.0,2,JPM
2025-12-04,0.6666666666666666,0.5773502691896258,3,JPM
2025-12-05,0.0,0.0,2,JPM
2025-12-06,0.5,0.7071067811865476,2,JPM
2025-12-07,0.0,,1,JPM
2025-12-08,0.0,,1,JPM
2025-12-09,1.0,0.0,2,JPM
2025-12-10,0.0,0.0,5,JPM
2025-12-11,0.0,,1,JPM
2025-12-12,-0.3333333333333333,0.5773502691896258,3,JPM
2025-12-13,0.0,0.0,2,JPM
2025-12-15,0.5,0.7071067811865476,2,JPM
2025-12-16,0.75,0.5,4,JPM
2025-12-17,0.0,0.0,3,JPM
2025-12-18,0.0,0.816496580927726,4,JPM
2025-12-20,1.0,,1,JPM
2025-12-23,1.0,0.0,2,JPM
2025-12-24,1.0,,1,JPM
2025-12-25,0.25,0.5,4,JPM
2025-12-26,0.0,,1,JPM
2025-12-27,-0.5,0.7071067811865476,2,JPM
2025-12-28,0.0,,1,JPM
2025-12-30,1.0,0.0,2,JPM
2026-01-01,0.0,,1,JPM
2026-01-02,0.0,,1,JPM
2026-01-04,1.0,,1,JPM
2026-01-06,0.6666666666666666,0.5773502691896258,3,JPM
2026-01-07,0.5,1.0,4,JPM
2026-01-09,0.5,0.7071067811865476,2,JPM
2026-01-11,0.0,,1,JPM
2026-01-12,-0.25,0.5,4,JPM
2026-01-13,0.2,0.9189365834726815,10,JPM
2026-01-14,0.25,0.9574271077563381,4,JPM
2026-01-15,0.3333333333333333,0.5773502691896258,3,JPM
2026-01-16,0.25,0.9574271077563382,4,JPM
2026-01-17,1.0,,1,JPM
2026-01-18,0.0,,1,JPM
2026-01-20,0.0,0.0,2,JPM
2026-01-21,0.0,1.4142135623730951,2,JPM
2026-01-22,0.25,0.5,4,JPM
2026-01-23,-1.0,,1,JPM
2026-01-25,1.0,,1,JPM
2026-01-26,0.3333333333333333,0.5773502691896258,3,JPM
2026-01-27,0.0,,1,JPM
2026-01-28,0.0,0.816496580927726,4,JPM
2026-01-29,0.0,,1,JPM
