date,sentiment_mean,sentiment_std,news_count,ticker
2025-11-30,0.0,0.0,3,TSLA
2025-12-01,-0.2,0.447213595499958,5,TSLA
2025-12-02,-0.3333333333333333,0.7071067811865476,9,TSLA
2025-12-03,0.0,0.5773502691896257,7,TSLA
2025-12-04,0.625,0.5175491695067657,8,TSLA
2025-12-05,-0.2,0.8366600265340756,5,TSLA
2025-12-06,0.3333333333333333,0.5773502691896258,3,TSLA
2025-12-07,0.5,0.7071067811865476,2,TSLA
2025-12-08,0.0,0.6324555320336759,6,TSLA
2025-12-09,0.2,0.8366600265340756,5,TSLA
2025-12-10,-0.16666666666666666,0.983192080250175,6,TSLA
2025-12-11,0.0,0.0,6,TSLA
2025-12-12,-0.3333333333333333,0.5773502691896258,3,TSLA
2025-12-13,0.0,0.0,5,TSLA
2025-12-14,0.0,,1,TSLA
2025-12-15,0.0,0.816496580927726,10,TSLA
2025-12-16,0.4,0.5477225575051661,5,TSLA
2025-12-17,-0.2222222222222222,0.8333333333333334,9,TSLA
2025-12-18,0.0,0.816496580927726,7,TSLA
2025-12-21,-1.0,0.0,2,TSLA
2025-12-22,0.6,0.5477225575051662,5,TSLA
2025-12-23,0.14285714285714285,0.8997354108424375,7,TSLA
2025-12-24,0.2,0.4472135954999579,5,TSLA
2025-12-25,0.3333333333333333,0.816496580927726,6,TSLA
2025-12-26,1.0,,1,TSLA
2025-12-27,-0.3333333333333333,0.5773502691896258,3,TSLA
2025-12-29,0.0,0.7071067811865476,5,TSLA
2025-12-30,-0.3,0.6749485577105528,10,TSLA
2025-12-31,-0.14285714285714285,0.8997354108424372,7,TSLA
2026-01-01,-0.3333333333333333,0.5773502691896258,3,TSLA
2026-01-02,-0.2857142857142857,0.9511897312113419,7,TSLA
2026-01-03,-1.0,,1,TSLA
2026-01-04,0.3333333333333333,0.5773502691896258,3,TSLA
2026-01-05,0.0,0.5773502691896257,7,TSLA
2026-01-06,-0.3,0.674948557710553,10,TSLA
2026-01-07,-0.125,0.6408699444616557,8,TSLA
2026-01-08,0.2222222222222222,0.6666666666666667,9,TSLA
2026-01-09,0.0,1.0,3,TSLA
2026-01-10,0.0,0.5,9,TSLA
2026-01-11,0.3333333333333333,0.5773502691896258,3,TSLA
2026-01-12,0.25,0.5,4,TSLA
2026-01-13,0.2,0.4472135954999579,5,TSLA
2026-01-14,1.0,,1,TSLA
2026-01-15,0.16666666666666666,0.752772652709081,6,TSLA
2026-01-16,-0.6666666666666666,0.5773502691896258,3,TSLA
2026-01-17,-1.0,,1,TSLA
2026-01-18,0.16666666666666666,0.752772652709081,6,TSLA
2026-01-19,0.5,0.7071067811865476,2,TSLA
2026-01-20,0.3,0.6749485577105528,10,TSLA
2026-01-21,0.2,0.7888106377466155,10,TSLA
2026-01-22,0.25,0.7071067811865476,8,TSLA
2026-01-23,0.36363636363636365,0.8090398349558905,11,TSLA
2026-01-24,-1.0,,1,TSLA
2026-01-25,0.3333333333333333,0.5773502691896258,3,TSLA
2026-01-26,0.0,0.816496580927726,7,TSLA
2026-01-27,0.0,0.6324555320336759,6,TSLA
2026-01-28,0.38461538461538464,0.6504436355879909,13,TSLA
