date,sentiment_mean,sentiment_std,news_count,ticker
2025-11-30,0.5,0.7071067811865476,2,JNJ
2025-12-02,1.0,,1,JNJ
2025-12-03,0.0,0.0,2,JNJ
2025-12-06,1.0,,1,JNJ
2025-12-07,0.0,,1,JNJ
2025-12-08,0.0,,1,JNJ
2025-12-09,1.0,,1,JNJ
2025-12-11,1.0,,1,JNJ
2025-12-12,1.0,,1,JNJ
2025-12-15,0.6666666666666666,0.5773502691896258,3,JNJ
2025-12-16,1.0,,1,JNJ
2025-12-17,0.0,,1,JNJ
2025-12-24,1.0,,1,JNJ
2025-12-30,1.0,,1,JNJ
2026-01-01,1.0,,1,JNJ
2026-01-03,1.0,,1,JNJ
2026-01-05,1.0,,1,JNJ
2026-01-06,1.0,,1,JNJ
2026-01-07,1.0,,1,JNJ
2026-01-08,0.0,,1,JNJ
2026-01-09,0.6666666666666666,0.5773502691896258,3,JNJ
2026-01-12,1.0,0.0,3,JNJ
2026-01-13,0.75,0.5,4,JNJ
2026-01-14,1.0,0.0,2,JNJ
2026-01-15,1.0,0.0,2,JNJ
2026-01-16,1.0,0.0,3,JNJ
2026-01-18,0.0,,1,JNJ
2026-01-19,0.6666666666666666,0.5773502691896258,3,JNJ
2026-01-20,0.5,0.7071067811865476,2,JNJ
2026-01-21,0.5,0.7071067811865476,10,JNJ
2026-01-22,0.25,0.9574271077563381,4,JNJ
2026-01-23,0.0,,1,JNJ
2026-01-27,1.0,0.0,2,JNJ
2026-01-28,1.0,0.0,2,JNJ
