date,sentiment_mean,sentiment_std,news_count,ticker
2025-12-01,0.0,,1,V
2025-12-03,1.0,,1,V
2025-12-04,1.0,,1,V
2025-12-09,1.0,,1,V
2025-12-13,1.0,,1,V
2025-12-15,1.0,,1,V
2025-12-16,1.0,,1,V
2025-12-17,0.0,0.0,2,V
2025-12-18,0.0,,1,V
2025-12-19,0.0,,1,V
2025-12-22,1.0,,1,V
2025-12-23,0.0,,1,V
2025-12-24,0.16666666666666666,0.408248290463863,6,V
2025-12-29,0.0,0.0,2,V
2025-12-30,1.0,,1,V
2026-01-01,1.0,,1,V
2026-01-02,1.0,,1,V
2026-01-04,0.5,0.7071067811865476,2,V
2026-01-05,1.0,,1,V
2026-01-06,0.5,0.5773502691896257,4,V
2026-01-07,1.0,,1,V
2026-01-10,1.0,,1,V
2026-01-11,0.5,0.7071067811865476,2,V
2026-01-12,-1.0,,1,V
2026-01-13,0.0,1.4142135623730951,2,V
2026-01-15,0.5,0.7071067811865476,2,V
2026-01-16,0.0,1.0,3,V
2026-01-17,1.0,0.0,2,V
2026-01-18,0.0,,1,V
2026-01-20,0.0,,1,V
2026-01-21,0.5,0.7071067811865476,2,V
2026-01-22,0.0,,1,V
2026-01-23,1.0,,1,V
2026-01-24,1.0,,1,V
2026-01-26,1.0,,1,V
2026-01-27,1.0,,1,V
2026-01-28,0.2,0.447213595499958,5,V
2026-01-29,0.0,,1,V
