date,sentiment_mean,sentiment_std,news_count,ticker
2025-12-30,0.6363636363636364,0.504524979109513,11,NVDA
2025-12-31,0.25,0.7537783614444091,12,NVDA
2026-01-01,0.375,0.7440238091428449,8,NVDA
2026-01-02,0.42857142857142855,0.7559289460184544,14,NVDA
2026-01-03,0.375,0.5175491695067657,8,NVDA
2026-01-04,0.5,0.5477225575051661,6,NVDA
2026-01-05,0.5,0.5107539184552491,24,NVDA
2026-01-06,0.6086956521739131,0.583027399541909,23,NVDA
2026-01-07,0.3333333333333333,0.701964118163034,24,NVDA
2026-01-08,0.53125,0.5670736994828462,32,NVDA
2026-01-09,0.6666666666666666,0.48795003647426666,15,NVDA
2026-01-10,0.45,0.5104177855340404,20,NVDA
2026-01-11,0.5833333333333334,0.5149286505444373,12,NVDA
2026-01-12,0.9285714285714286,0.2672612419124244,14,NVDA
2026-01-13,0.8333333333333334,0.3892494720807615,12,NVDA
2026-01-14,0.09523809523809523,0.7003400534570263,21,NVDA
2026-01-15,0.631578947368421,0.5972647203701476,19,NVDA
2026-01-16,0.3333333333333333,0.6582805886043833,21,NVDA
2026-01-17,0.5833333333333334,0.5149286505444373,12,NVDA
2026-01-18,0.6153846153846154,0.6504436355879909,13,NVDA
2026-01-19,0.6363636363636364,0.6741998624632421,11,NVDA
2026-01-20,0.42857142857142855,0.6761234037828132,21,NVDA
2026-01-21,0.3684210526315789,0.6839855680567695,19,NVDA
2026-01-22,0.5,0.6183469424008423,18,NVDA
2026-01-23,0.625,0.49453535504684026,24,NVDA
2026-01-24,0.5454545454545454,0.5222329678670935,11,NVDA
2026-01-25,0.7,0.48304589153964794,10,NVDA
2026-01-26,0.5384615384615384,0.5188745216627709,13,NVDA
2026-01-27,0.45454545454545453,0.5222329678670935,11,NVDA
2026-01-28,0.4375,0.51234753829798,16,NVDA
2026-01-29,0.0,,1,NVDA
